ResultNumber,ProvinceTerritory,Health Region2007,HealthRegionCode2007,ForwardSortationAreaCodes,TestDurationInDays,AverageRadonConcentrationInBqPerM3,,,,,,
5708,ON,"Leeds, Grenville and Lanark District Health Unit",3543,K0E,94,317,,,,,,
5709,ON,"Leeds, Grenville and Lanark District Health Unit",3543,K0G,91,14,,,,,,
5710,ON,"Leeds, Grenville and Lanark District Health Unit",3543,K0G,91,118,,,,,,
5711,ON,"Leeds, Grenville and Lanark District Health Unit",3543,K0G,90,681,,,,,,
5712,ON,Middlesex-London Health Unit,3544,N0L,106,77,,,,,,
5713,ON,Middlesex-London Health Unit,3544,N0L,102,71,,,,,,
5714,ON,Middlesex-London Health Unit,3544,N0L,95,88,,,,,,
5715,ON,Middlesex-London Health Unit,3544,N0L,117,104,,,,,,
5716,ON,Middlesex-London Health Unit,3544,N0M,94,43,,,,,,
5717,ON,Middlesex-London Health Unit,3544,N0M,91,127,,,,,,
5718,ON,Middlesex-London Health Unit,3544,N0M,92,14,,,,,,
5719,ON,Middlesex-London Health Unit,3544,N0L,94,102,,,,,,
5720,ON,Middlesex-London Health Unit,3544,N5V,95,14,,,,,,
5721,ON,Middlesex-London Health Unit,3544,N5V,68,14,,,,,,
5722,ON,Middlesex-London Health Unit,3544,N5V,96,23,,,,,,
5723,ON,Middlesex-London Health Unit,3544,N5V,91,23,,,,,,
5724,ON,Middlesex-London Health Unit,3544,N5V,91,103,,,,,,
5725,ON,Middlesex-London Health Unit,3544,N5W,92,14,,,,,,
5726,ON,Middlesex-London Health Unit,3544,N5W,91,18,,,,,,
5727,ON,Middlesex-London Health Unit,3544,N5W,93,31,,,,,,
5728,ON,Middlesex-London Health Unit,3544,N5W,100,36,,,,,,
5729,ON,Middlesex-London Health Unit,3544,N5W,93,68,,,,,,
5730,ON,Middlesex-London Health Unit,3544,N5W,151,78,,,,,,
5731,ON,Middlesex-London Health Unit,3544,N5X,120,16,,,,,,
5732,ON,Middlesex-London Health Unit,3544,N5X,94,23,,,,,,
5733,ON,Middlesex-London Health Unit,3544,N5X,91,27,,,,,,
5734,ON,Middlesex-London Health Unit,3544,N5X,98,30,,,,,,
5735,ON,Middlesex-London Health Unit,3544,N5X,300,59,,,,,,
5736,ON,Middlesex-London Health Unit,3544,N5X,96,88,,,,,,
5737,ON,Middlesex-London Health Unit,3544,N5X,108,94,,,,,,
5738,ON,Middlesex-London Health Unit,3544,N5X,92,111,,,,,,
5739,ON,Middlesex-London Health Unit,3544,N5X,101,294,,,,,,
5740,ON,Middlesex-London Health Unit,3544,N5Y,92,14,,,,,,
5741,ON,Middlesex-London Health Unit,3544,N5Y,92,14,,,,,,
5742,ON,Middlesex-London Health Unit,3544,N5Y,91,22,,,,,,
5743,ON,Middlesex-London Health Unit,3544,N5Y,100,28,,,,,,
5744,ON,Middlesex-London Health Unit,3544,N5Y,96,40,,,,,,
5745,ON,Middlesex-London Health Unit,3544,N5Y,128,49,,,,,,
5746,ON,Middlesex-London Health Unit,3544,N5Y,158,76,,,,,,
5747,ON,Middlesex-London Health Unit,3544,N5Y,139,86,,,,,,
5748,ON,Middlesex-London Health Unit,3544,N5Y,93,110,,,,,,
5749,ON,Middlesex-London Health Unit,3544,N5Z,116,14,,,,,,
5750,ON,Middlesex-London Health Unit,3544,N5Z,102,40,,,,,,
5751,ON,Middlesex-London Health Unit,3544,N5Z,127,75,,,,,,
5752,ON,Middlesex-London Health Unit,3544,N5Z,92,88,,,,,,
5753,ON,Middlesex-London Health Unit,3544,*,92,16,,,,,,
5754,ON,Middlesex-London Health Unit,3544,N6C,92,16,,,,,,
5755,ON,Middlesex-London Health Unit,3544,N6C,91,17,,,,,,
5756,ON,Middlesex-London Health Unit,3544,N6C,95,23,,,,,,
5757,ON,Middlesex-London Health Unit,3544,N6C,95,25,,,,,,
5758,ON,Middlesex-London Health Unit,3544,N6C,108,27,,,,,,
5759,ON,Middlesex-London Health Unit,3544,N6C,96,35,,,,,,
5760,ON,Middlesex-London Health Unit,3544,N6C,149,38,,,,,,
5761,ON,Middlesex-London Health Unit,3544,N6C,92,62,,,,,,
5762,ON,Middlesex-London Health Unit,3544,N6E,120,14,,,,,,
5763,ON,Middlesex-London Health Unit,3544,N6E,91,15,,,,,,
5764,ON,Middlesex-London Health Unit,3544,N6E,105,23,,,,,,
5765,ON,Middlesex-London Health Unit,3544,N6E,89,36,,,,,,
5766,ON,Middlesex-London Health Unit,3544,N6E,108,60,,,,,,
5767,ON,Middlesex-London Health Unit,3544,N6E,97,86,,,,,,
5768,ON,Middlesex-London Health Unit,3544,N6E,92,194,,,,,,
5769,ON,Middlesex-London Health Unit,3544,N6G,112,14,,,,,,
5770,ON,Middlesex-London Health Unit,3544,N6G,98,14,,,,,,
5771,ON,Middlesex-London Health Unit,3544,N6G,93,23,,,,,,
5772,ON,Middlesex-London Health Unit,3544,N6G,99,69,,,,,,
5773,ON,Middlesex-London Health Unit,3544,N6G,90,70,,,,,,
5774,ON,Middlesex-London Health Unit,3544,N6G,92,168,,,,,,
5775,ON,Middlesex-London Health Unit,3544,N6H,91,14,,,,,,
5776,ON,Middlesex-London Health Unit,3544,N6H,84,19,,,,,,
5777,ON,Middlesex-London Health Unit,3544,N6H,91,22,,,,,,
5778,ON,Middlesex-London Health Unit,3544,N6H,90,22,,,,,,
5779,ON,Middlesex-London Health Unit,3544,N6H,91,29,,,,,,
5780,ON,Middlesex-London Health Unit,3544,N6H,91,38,,,,,,
5781,ON,Middlesex-London Health Unit,3544,N6H,94,61,,,,,,
5782,ON,Middlesex-London Health Unit,3544,N6H,113,64,,,,,,
5783,ON,Middlesex-London Health Unit,3544,N6H,103,196,,,,,,
5784,ON,Middlesex-London Health Unit,3544,N6H,91,215,,,,,,
5785,ON,Middlesex-London Health Unit,3544,N6J,91,14,,,,,,
5786,ON,Middlesex-London Health Unit,3544,N6J,82,14,,,,,,
5787,ON,Middlesex-London Health Unit,3544,N6J,91,17,,,,,,
5788,ON,Middlesex-London Health Unit,3544,N6J,119,32,,,,,,
5789,ON,Middlesex-London Health Unit,3544,N6K,101,14,,,,,,
5790,ON,Middlesex-London Health Unit,3544,N6K,92,17,,,,,,
5791,ON,Middlesex-London Health Unit,3544,N6K,91,19,,,,,,
5792,ON,Middlesex-London Health Unit,3544,N6K,92,27,,,,,,
5793,ON,Middlesex-London Health Unit,3544,N6K,91,36,,,,,,
5794,ON,Middlesex-London Health Unit,3544,N6K,91,38,,,,,,
5795,ON,Middlesex-London Health Unit,3544,N6K,91,62,,,,,,
5796,ON,Middlesex-London Health Unit,3544,N6K,105,71,,,,,,
5797,ON,Middlesex-London Health Unit,3544,N6K,90,72,,,,,,
5798,ON,Middlesex-London Health Unit,3544,N6K,109,73,,,,,,
5799,ON,Middlesex-London Health Unit,3544,N6K,100,78,,,,,,
5800,ON,Middlesex-London Health Unit,3544,N6K,103,111,,,,,,
5801,ON,Middlesex-London Health Unit,3544,N6K,95,149,,,,,,
5802,ON,Middlesex-London Health Unit,3544,*,92,69,,,,,,
5803,ON,Middlesex-London Health Unit,3544,*,92,94,,,,,,
5804,ON,Middlesex-London Health Unit,3544,N0M,91,26,,,,,,
5805,ON,Middlesex-London Health Unit,3544,N0M,111,67,,,,,,
5806,ON,Middlesex-London Health Unit,3544,N0L,162,75,,,,,,
5807,ON,Middlesex-London Health Unit,3544,N0L,104,16,,,,,,
5808,ON,Middlesex-London Health Unit,3544,N0L,91,35,,,,,,
5809,ON,Middlesex-London Health Unit,3544,N0L,116,95,,,,,,
5810,ON,Middlesex-London Health Unit,3544,N0M,91,14,,,,,,
5811,ON,Middlesex-London Health Unit,3544,N0M,110,16,,,,,,
5812,ON,Middlesex-London Health Unit,3544,N0M,125,76,,,,,,
5813,ON,Middlesex-London Health Unit,3544,N0M,101,110,,,,,,
5814,ON,Middlesex-London Health Unit,3544,N7G,96,69,,,,,,
5815,ON,Middlesex-London Health Unit,3544,N7G,89,25,,,,,,
5816,ON,Middlesex-London Health Unit,3544,N7G,108,34,,,,,,
5817,ON,Middlesex-London Health Unit,3544,N7G,99,39,,,,,,
5818,ON,Middlesex-London Health Unit,3544,N7G,61,42,,,,,,
5819,ON,Middlesex-London Health Unit,3544,N7G,92,51,,,,,,
5820,ON,Middlesex-London Health Unit,3544,N7G,91,74,,,,,,
5821,ON,Middlesex-London Health Unit,3544,N0M,91,54,,,,,,
5822,ON,Niagara Regional Area Health Unit,3546,L0R,97,38,,,,,,
5823,ON,Niagara Regional Area Health Unit,3546,L0R,63,93,,,,,,
5824,ON,Niagara Regional Area Health Unit,3546,L0R,91,14,,,,,,
5825,ON,Niagara Regional Area Health Unit,3546,L0R,91,73,,,,,,
5826,ON,Niagara Regional Area Health Unit,3546,L0R,112,108,,,,,,
5827,ON,Niagara Regional Area Health Unit,3546,L0S,89,25,,,,,,
5828,ON,Niagara Regional Area Health Unit,3546,L0S,92,31,,,,,,
5829,ON,Niagara Regional Area Health Unit,3546,*,101,30,,,,,,
5830,ON,Niagara Regional Area Health Unit,3546,L3M,91,76,,,,,,
5831,ON,Niagara Regional Area Health Unit,3546,L3M,91,44,,,,,,
5832,ON,Niagara Regional Area Health Unit,3546,L3M,92,96,,,,,,
5833,ON,Niagara Regional Area Health Unit,3546,L0R,90,34,,,,,,
5834,ON,Niagara Regional Area Health Unit,3546,L0R,91,103,,,,,,
5835,ON,Niagara Regional Area Health Unit,3546,N0A,90,14,,,,,,
5836,ON,Niagara Regional Area Health Unit,3546,N0A,92,66,,,,,,
5837,ON,Niagara Regional Area Health Unit,3546,L2G,96,184,,,,,,
5838,ON,Niagara Regional Area Health Unit,3546,L2E,110,14,,,,,,
5839,ON,Niagara Regional Area Health Unit,3546,L2E,90,15,,,,,,
5840,ON,Niagara Regional Area Health Unit,3546,L2E,92,93,,,,,,
5841,ON,Niagara Regional Area Health Unit,3546,L2G,91,14,,,,,,
5842,ON,Niagara Regional Area Health Unit,3546,L2G,91,16,,,,,,
5843,ON,Niagara Regional Area Health Unit,3546,L2G,91,16,,,,,,
5844,ON,Niagara Regional Area Health Unit,3546,L2G,93,19,,,,,,
5845,ON,Niagara Regional Area Health Unit,3546,L2G,118,64,,,,,,
5846,ON,Niagara Regional Area Health Unit,3546,L2G,92,75,,,,,,
5847,ON,Niagara Regional Area Health Unit,3546,L2G,113,106,,,,,,
5848,ON,Niagara Regional Area Health Unit,3546,L2H,191,14,,,,,,
5849,ON,Niagara Regional Area Health Unit,3546,L2H,91,40,,,,,,
5850,ON,Niagara Regional Area Health Unit,3546,L2H,90,68,,,,,,
5851,ON,Niagara Regional Area Health Unit,3546,L2H,91,185,,,,,,
5852,ON,Niagara Regional Area Health Unit,3546,L2J,91,21,,,,,,
5853,ON,Niagara Regional Area Health Unit,3546,L2J,91,101,,,,,,
5854,ON,Niagara Regional Area Health Unit,3546,L3K,91,14,,,,,,
5855,ON,Niagara Regional Area Health Unit,3546,L3K,93,941,,,,,,
5856,ON,Niagara Regional Area Health Unit,3546,L3K,91,2307,,,,,,
5857,ON,Niagara Regional Area Health Unit,3546,L0S,108,14,,,,,,
5858,ON,Niagara Regional Area Health Unit,3546,L0S,91,16,,,,,,
5859,ON,Niagara Regional Area Health Unit,3546,L0S,101,27,,,,,,
5860,ON,Niagara Regional Area Health Unit,3546,L0S,94,14,,,,,,
5861,ON,Niagara Regional Area Health Unit,3546,L0S,91,41,,,,,,
5862,ON,Niagara Regional Area Health Unit,3546,L0R,91,22,,,,,,
5863,ON,Niagara Regional Area Health Unit,3546,L0R,102,34,,,,,,
5864,ON,Niagara Regional Area Health Unit,3546,L0R,82,41,,,,,,
5865,ON,Niagara Regional Area Health Unit,3546,L0R,92,54,,,,,,
5866,ON,Niagara Regional Area Health Unit,3546,L0R,104,102,,,,,,
5867,ON,Niagara Regional Area Health Unit,3546,L2M,99,14,,,,,,
5868,ON,Niagara Regional Area Health Unit,3546,L2M,95,17,,,,,,
5869,ON,Niagara Regional Area Health Unit,3546,L2M,92,21,,,,,,
5870,ON,Niagara Regional Area Health Unit,3546,L2M,93,25,,,,,,
5871,ON,Niagara Regional Area Health Unit,3546,L2M,103,27,,,,,,
5872,ON,Niagara Regional Area Health Unit,3546,L2M,113,29,,,,,,
5873,ON,Niagara Regional Area Health Unit,3546,L2M,91,14,,,,,,
5874,ON,Niagara Regional Area Health Unit,3546,L2M,91,17,,,,,,
5875,ON,Niagara Regional Area Health Unit,3546,L2N,101,14,,,,,,
5876,ON,Niagara Regional Area Health Unit,3546,L2N,114,30,,,,,,
5877,ON,Niagara Regional Area Health Unit,3546,L2N,91,90,,,,,,
5878,ON,Niagara Regional Area Health Unit,3546,L2N,111,97,,,,,,
5879,ON,Niagara Regional Area Health Unit,3546,L2N,91,27,,,,,,
5880,ON,Niagara Regional Area Health Unit,3546,L2P,136,14,,,,,,
5881,ON,Niagara Regional Area Health Unit,3546,L2P,91,24,,,,,,
5882,ON,Niagara Regional Area Health Unit,3546,L2R,91,14,,,,,,
5883,ON,Niagara Regional Area Health Unit,3546,L2R,90,14,,,,,,
5884,ON,Niagara Regional Area Health Unit,3546,L2R,155,16,,,,,,
5885,ON,Niagara Regional Area Health Unit,3546,L2R,90,16,,,,,,
5886,ON,Niagara Regional Area Health Unit,3546,L2R,92,16,,,,,,
5887,ON,Niagara Regional Area Health Unit,3546,L2R,92,14,,,,,,
5888,ON,Niagara Regional Area Health Unit,3546,L2S,90,21,,,,,,
5889,ON,Niagara Regional Area Health Unit,3546,L2S,93,28,,,,,,
5890,ON,Niagara Regional Area Health Unit,3546,L2S,96,90,,,,,,
5891,ON,Niagara Regional Area Health Unit,3546,L2S,91,14,,,,,,
5892,ON,Niagara Regional Area Health Unit,3546,L2S,99,21,,,,,,
5893,ON,Niagara Regional Area Health Unit,3546,L2S,102,33,,,,,,
5894,ON,Niagara Regional Area Health Unit,3546,L2S,90,47,,,,,,
5895,ON,Niagara Regional Area Health Unit,3546,*,103,20,,,,,,
5896,ON,Niagara Regional Area Health Unit,3546,L0S,91,37,,,,,,
5897,ON,Niagara Regional Area Health Unit,3546,L0S,91,67,,,,,,
5898,ON,Niagara Regional Area Health Unit,3546,L2V,92,14,,,,,,
5899,ON,Niagara Regional Area Health Unit,3546,L2V,62,26,,,,,,
5900,ON,Niagara Regional Area Health Unit,3546,L0R,61,171,,,,,,
5901,ON,Niagara Regional Area Health Unit,3546,L0S,93,31,,,,,,
5902,ON,Niagara Regional Area Health Unit,3546,L3B,103,14,,,,,,
5903,ON,Niagara Regional Area Health Unit,3546,L3B,93,14,,,,,,
5904,ON,Niagara Regional Area Health Unit,3546,L3B,98,14,,,,,,
5905,ON,Niagara Regional Area Health Unit,3546,L3B,93,14,,,,,,
5906,ON,Niagara Regional Area Health Unit,3546,L3B,89,24,,,,,,
5907,ON,Niagara Regional Area Health Unit,3546,L3C,116,14,,,,,,
5908,ON,Niagara Regional Area Health Unit,3546,L3C,90,14,,,,,,
5909,ON,Niagara Regional Area Health Unit,3546,L3C,91,14,,,,,,
5910,ON,Niagara Regional Area Health Unit,3546,L3C,101,14,,,,,,
5911,ON,Niagara Regional Area Health Unit,3546,L3C,117,14,,,,,,
5912,ON,Niagara Regional Area Health Unit,3546,L3C,91,20,,,,,,
5913,ON,Niagara Regional Area Health Unit,3546,L3C,131,25,,,,,,
5914,ON,Niagara Regional Area Health Unit,3546,L3C,94,31,,,,,,
5915,ON,Niagara Regional Area Health Unit,3546,L3C,90,35,,,,,,
5916,ON,Niagara Regional Area Health Unit,3546,L3C,91,77,,,,,,
5917,ON,Niagara Regional Area Health Unit,3546,L3C,93,107,,,,,,
5918,ON,Niagara Regional Area Health Unit,3546,L0R,105,14,,,,,,
5919,ON,Niagara Regional Area Health Unit,3546,L0R,96,34,,,,,,
5920,ON,Niagara Regional Area Health Unit,3546,L0R,91,37,,,,,,
5921,ON,Niagara Regional Area Health Unit,3546,L0R,90,149,,,,,,
5922,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,14,,,,,,
5923,ON,North Bay Parry Sound District Health Unit,3547,P0H,90,70,,,,,,
5924,ON,North Bay Parry Sound District Health Unit,3547,P0H,96,32,,,,,,
5925,ON,North Bay Parry Sound District Health Unit,3547,P0G,94,14,,,,,,
5926,ON,North Bay Parry Sound District Health Unit,3547,P0G,99,17,,,,,,
5927,ON,North Bay Parry Sound District Health Unit,3547,P0A,91,14,,,,,,
5928,ON,North Bay Parry Sound District Health Unit,3547,P0H,90,14,,,,,,
5929,ON,North Bay Parry Sound District Health Unit,3547,P0H,89,14,,,,,,
5930,ON,North Bay Parry Sound District Health Unit,3547,P0H,93,16,,,,,,
5931,ON,North Bay Parry Sound District Health Unit,3547,P0H,97,18,,,,,,
5932,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,41,,,,,,
5933,ON,North Bay Parry Sound District Health Unit,3547,P0H,46,58,,,,,,
5934,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,63,,,,,,
5935,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,65,,,,,,
5936,ON,North Bay Parry Sound District Health Unit,3547,P0H,94,168,,,,,,
5937,ON,North Bay Parry Sound District Health Unit,3547,P0H,95,264,,,,,,
5938,ON,North Bay Parry Sound District Health Unit,3547,P0H,94,14,,,,,,
5939,ON,North Bay Parry Sound District Health Unit,3547,P0H,95,26,,,,,,
5940,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,37,,,,,,
5941,ON,North Bay Parry Sound District Health Unit,3547,P0A,97,26,,,,,,
5942,ON,North Bay Parry Sound District Health Unit,3547,P0A,89,32,,,,,,
5943,ON,North Bay Parry Sound District Health Unit,3547,P0A,90,14,,,,,,
5944,ON,North Bay Parry Sound District Health Unit,3547,P0A,83,26,,,,,,
5945,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,32,,,,,,
5946,ON,North Bay Parry Sound District Health Unit,3547,P0A,105,54,,,,,,
5947,ON,North Bay Parry Sound District Health Unit,3547,P0A,91,14,,,,,,
5948,ON,North Bay Parry Sound District Health Unit,3547,P0A,91,22,,,,,,
5949,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,14,,,,,,
5950,ON,North Bay Parry Sound District Health Unit,3547,P0H,90,14,,,,,,
5951,ON,North Bay Parry Sound District Health Unit,3547,P0A,92,28,,,,,,
5952,ON,North Bay Parry Sound District Health Unit,3547,P0G,125,14,,,,,,
5953,ON,North Bay Parry Sound District Health Unit,3547,P0G,91,36,,,,,,
5954,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,14,,,,,,
5955,ON,North Bay Parry Sound District Health Unit,3547,P0H,100,20,,,,,,
5956,ON,North Bay Parry Sound District Health Unit,3547,P0G,92,14,,,,,,
5957,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,14,,,,,,
5958,ON,North Bay Parry Sound District Health Unit,3547,P1A,92,14,,,,,,
5959,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,14,,,,,,
5960,ON,North Bay Parry Sound District Health Unit,3547,P1A,58,14,,,,,,
5961,ON,North Bay Parry Sound District Health Unit,3547,P1A,93,14,,,,,,
5962,ON,North Bay Parry Sound District Health Unit,3547,P1A,110,14,,,,,,
5963,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,14,,,,,,
5964,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,14,,,,,,
5965,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,14,,,,,,
5966,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,17,,,,,,
5967,ON,North Bay Parry Sound District Health Unit,3547,P1A,91,20,,,,,,
5968,ON,North Bay Parry Sound District Health Unit,3547,P1A,109,23,,,,,,
5969,ON,North Bay Parry Sound District Health Unit,3547,P1A,116,30,,,,,,
5970,ON,North Bay Parry Sound District Health Unit,3547,P1A,112,79,,,,,,
5971,ON,North Bay Parry Sound District Health Unit,3547,P1B,97,14,,,,,,
5972,ON,North Bay Parry Sound District Health Unit,3547,P1B,116,14,,,,,,
5973,ON,North Bay Parry Sound District Health Unit,3547,P1B,91,14,,,,,,
5974,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,14,,,,,,
5975,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,14,,,,,,
5976,ON,North Bay Parry Sound District Health Unit,3547,P1B,96,14,,,,,,
5977,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,14,,,,,,
5978,ON,North Bay Parry Sound District Health Unit,3547,P1B,116,14,,,,,,
5979,ON,North Bay Parry Sound District Health Unit,3547,P1B,100,14,,,,,,
5980,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,16,,,,,,
5981,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,17,,,,,,
5982,ON,North Bay Parry Sound District Health Unit,3547,P1B,98,21,,,,,,
5983,ON,North Bay Parry Sound District Health Unit,3547,P1B,92,22,,,,,,
5984,ON,North Bay Parry Sound District Health Unit,3547,P1B,90,24,,,,,,
5985,ON,North Bay Parry Sound District Health Unit,3547,P1B,111,25,,,,,,
5986,ON,North Bay Parry Sound District Health Unit,3547,*,91,71,,,,,,
5987,ON,North Bay Parry Sound District Health Unit,3547,P0A,110,14,,,,,,
5988,ON,North Bay Parry Sound District Health Unit,3547,P0A,90,17,,,,,,
5989,ON,North Bay Parry Sound District Health Unit,3547,P0A,92,38,,,,,,
5990,ON,North Bay Parry Sound District Health Unit,3547,P0A,106,259,,,,,,
5991,ON,North Bay Parry Sound District Health Unit,3547,P2A,92,14,,,,,,
5992,ON,North Bay Parry Sound District Health Unit,3547,P2A,91,14,,,,,,
5993,ON,North Bay Parry Sound District Health Unit,3547,P2A,100,14,,,,,,
5994,ON,North Bay Parry Sound District Health Unit,3547,P2A,99,14,,,,,,
5995,ON,North Bay Parry Sound District Health Unit,3547,P2A,100,14,,,,,,
5996,ON,North Bay Parry Sound District Health Unit,3547,P2A,99,14,,,,,,
5997,ON,North Bay Parry Sound District Health Unit,3547,P2A,90,14,,,,,,
5998,ON,North Bay Parry Sound District Health Unit,3547,P2A,98,17,,,,,,
5999,ON,North Bay Parry Sound District Health Unit,3547,P2A,93,17,,,,,,
6000,ON,North Bay Parry Sound District Health Unit,3547,P2A,76,29,,,,,,
6001,ON,North Bay Parry Sound District Health Unit,3547,P2A,92,33,,,,,,
6002,ON,North Bay Parry Sound District Health Unit,3547,P2A,90,100,,,,,,
6003,ON,North Bay Parry Sound District Health Unit,3547,P0H,101,21,,,,,,
6004,ON,North Bay Parry Sound District Health Unit,3547,P0H,113,27,,,,,,
6005,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,32,,,,,,
6006,ON,North Bay Parry Sound District Health Unit,3547,P0H,87,61,,,,,,
6007,ON,North Bay Parry Sound District Health Unit,3547,P0H,93,111,,,,,,
6008,ON,North Bay Parry Sound District Health Unit,3547,P0C,105,14,,,,,,
6009,ON,North Bay Parry Sound District Health Unit,3547,P0A,92,20,,,,,,
6010,ON,North Bay Parry Sound District Health Unit,3547,P0A,94,26,,,,,,
6011,ON,North Bay Parry Sound District Health Unit,3547,P0A,95,28,,,,,,
6012,ON,North Bay Parry Sound District Health Unit,3547,P0A,93,35,,,,,,
6013,ON,North Bay Parry Sound District Health Unit,3547,P0A,91,14,,,,,,
6014,ON,North Bay Parry Sound District Health Unit,3547,P2B,91,14,,,,,,
6015,ON,North Bay Parry Sound District Health Unit,3547,P2B,93,14,,,,,,
6016,ON,North Bay Parry Sound District Health Unit,3547,P2B,90,18,,,,,,
6017,ON,North Bay Parry Sound District Health Unit,3547,P2B,92,25,,,,,,
6018,ON,North Bay Parry Sound District Health Unit,3547,P0A,98,14,,,,,,
6019,ON,North Bay Parry Sound District Health Unit,3547,P0A,104,22,,,,,,
6020,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,17,,,,,,
6021,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,38,,,,,,
6022,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,38,,,,,,
6023,ON,North Bay Parry Sound District Health Unit,3547,P0H,91,129,,,,,,
6024,ON,North Bay Parry Sound District Health Unit,3547,P0H,92,175,,,,,,
6025,ON,Northwestern Health Unit,3549,P0T,94,14,,,,,,
6026,ON,Northwestern Health Unit,3549,P0T,93,14,,,,,,
6027,ON,Northwestern Health Unit,3549,P0T,92,14,,,,,,
6028,ON,Northwestern Health Unit,3549,P0T,91,14,,,,,,
6029,ON,Northwestern Health Unit,3549,P0T,91,14,,,,,,
6030,ON,Northwestern Health Unit,3549,P0T,91,16,,,,,,
6031,ON,Northwestern Health Unit,3549,P0T,94,19,,,,,,
6032,ON,Northwestern Health Unit,3549,P0T,95,29,,,,,,
6033,ON,Northwestern Health Unit,3549,P0T,90,49,,,,,,
6034,ON,Northwestern Health Unit,3549,P0T,91,61,,,,,,
6035,ON,Northwestern Health Unit,3549,P0T,96,77,,,,,,
6036,ON,Northwestern Health Unit,3549,P0T,91,106,,,,,,
6037,ON,Northwestern Health Unit,3549,P0T,93,110,,,,,,
6038,ON,Northwestern Health Unit,3549,P0T,91,141,,,,,,
6039,ON,Northwestern Health Unit,3549,P0T,129,190,,,,,,
6040,ON,Northwestern Health Unit,3549,P0T,92,211,,,,,,
6041,ON,Northwestern Health Unit,3549,P0T,105,254,,,,,,
6042,ON,Northwestern Health Unit,3549,P0V,91,131,,,,,,
6043,ON,Northwestern Health Unit,3549,P0W,91,206,,,,,,
6044,ON,Northwestern Health Unit,3549,P0W,95,14,,,,,,
6045,ON,Northwestern Health Unit,3549,P0W,92,14,,,,,,
6046,ON,Northwestern Health Unit,3549,P0W,91,37,,,,,,
6047,ON,Northwestern Health Unit,3549,P0W,91,55,,,,,,
6048,ON,Northwestern Health Unit,3549,P0W,97,105,,,,,,
6049,ON,Northwestern Health Unit,3549,P0W,92,134,,,,,,
6050,ON,Northwestern Health Unit,3549,P0W,97,140,,,,,,
6051,ON,Northwestern Health Unit,3549,P0W,122,196,,,,,,
6052,ON,Northwestern Health Unit,3549,P0V,91,76,,,,,,
6053,ON,Northwestern Health Unit,3549,P8N,99,14,,,,,,
6054,ON,Northwestern Health Unit,3549,P8N,91,19,,,,,,
6055,ON,Northwestern Health Unit,3549,P8N,91,19,,,,,,
6056,ON,Northwestern Health Unit,3549,P8N,93,72,,,,,,
6057,ON,Northwestern Health Unit,3549,P8N,46,79,,,,,,
6058,ON,Northwestern Health Unit,3549,P8N,95,99,,,,,,
6059,ON,Northwestern Health Unit,3549,P8N,101,105,,,,,,
6060,ON,Northwestern Health Unit,3549,P8N,90,114,,,,,,
6061,ON,Northwestern Health Unit,3549,P8N,97,121,,,,,,
6062,ON,Northwestern Health Unit,3549,P8N,90,156,,,,,,
6063,ON,Northwestern Health Unit,3549,P8N,90,164,,,,,,
6064,ON,Northwestern Health Unit,3549,P8N,99,165,,,,,,
6065,ON,Northwestern Health Unit,3549,P8N,93,213,,,,,,
6066,ON,Northwestern Health Unit,3549,P8N,92,216,,,,,,
6067,ON,Northwestern Health Unit,3549,P8N,95,249,,,,,,
6068,ON,Northwestern Health Unit,3549,P8N,95,285,,,,,,
6069,ON,Northwestern Health Unit,3549,P8N,92,308,,,,,,
6070,ON,Northwestern Health Unit,3549,P8N,90,344,,,,,,
6071,ON,Northwestern Health Unit,3549,P8N,92,377,,,,,,
6072,ON,Northwestern Health Unit,3549,P8N,98,378,,,,,,
6073,ON,Northwestern Health Unit,3549,P8N,128,428,,,,,,
6074,ON,Northwestern Health Unit,3549,P8N,91,451,,,,,,
6075,ON,Northwestern Health Unit,3549,P8N,94,637,,,,,,
6076,ON,Northwestern Health Unit,3549,P8N,91,649,,,,,,
6077,ON,Northwestern Health Unit,3549,P8N,94,706,,,,,,
6078,ON,Northwestern Health Unit,3549,P0V,92,331,,,,,,
